ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2207403-20181116,2624600,315035,1,"S O C, LLC",EDGEBROOK MOTEL,6401 W TOUHY AVE 1 & 2,CHICAGO,IL,60646,41,10,41-10,16,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2207403,RENEW,,09/15/2018,09/26/2018,N,11/16/2018,07/15/2021,09/26/2018,09/27/2018,AAI,,,42.011881972,-87.786825921,"(42.01188197218486, -87.78682592114689)"
2207759-20170316,2509316,326251,1,"55 E. ONTARIO STREET, LLC",JAMES HOTEL CHICAGO,55 E ONTARIO ST 1-16,CHICAGO,IL,60611,42,22,42-22,18,4404,Regulated Business License,676 | 745,Hotel - 7 or More Sleeping Rooms  | Provide Full Body Massage Services,2207759,RENEW,,01/15/2017,03/07/2017,N,03/16/2017,03/15/2019,03/07/2017,03/08/2017,AAC,10/25/2018,,41.893196716,-87.625913848,"(41.893196716498565, -87.62591384804212)"
2205272-20190416,2648716,62811,1,JACK GORE & FRED BEIDER,Rodeway Inn Chicago/Evanston,6080 N LINCOLN AVE,CHICAGO,IL,60659,50,25,50-25,17,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2205272,RENEW,,02/22/2019,04/21/2019,N,04/16/2019,07/15/2021,04/21/2019,04/22/2019,AAI,,,41.992815657,-87.711557399,"(41.99281565721951, -87.71155739931793)"
2208091-20180516,2586775,339314,1,600 N. LASALLE LLC,OHIO HOUSE MOTEL,600 N LA SALLE DR 2-STORY BLDG,CHICAGO,IL,60654,42,39,42-39,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2208091,RENEW,,03/15/2018,03/28/2018,N,05/16/2018,07/15/2021,03/28/2018,03/28/2018,AAI,,,41.892445282,-87.632755374,"(41.892445282364825, -87.6327553744108)"
2220601-20190116,2635455,375624,1,616 ARLINGTON PROPERTY LLC,CHICAGO GETAWAY HOSTEL,616 W ARLINGTON PL,CHICAGO,IL,60614,43,21,43-21,19,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2220601,RENEW,,11/15/2018,04/02/2019,N,01/16/2019,01/15/2021,04/02/2019,04/03/2019,AAI,,,41.926825002,-87.644706266,"(41.926825002496706, -87.64470626566693)"
2208156-20180516,2586787,340536,1,"HCP OXFORD OBG WACKER PROPERTY COMPANY, LLC",HOTEL FELIX,111 W HURON ST 1ST,CHICAGO,IL,60654,42,46,42-46,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2208156,RENEW,,03/15/2018,04/13/2018,N,05/16/2018,05/15/2020,04/13/2018,04/16/2018,AAI,,,41.894716004,-87.631716142,"(41.8947160042679, -87.63171614204819)"
2363584-20181116,2625540,394458,1,"ESSEX HOTEL MANAGER, LLC",Le Meridien Essex Chicago,800 S MICHIGAN AVE 1 - 16,CHICAGO,IL,60605,4,37,4-37,1,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2363584,RENEW,,09/15/2018,03/22/2019,N,11/16/2018,11/15/2020,03/22/2019,03/25/2019,AAI,,,41.871811814,-87.624315499,"(41.87181181410728, -87.62431549922361)"
2216960-20181116,2624011,203104,1,BUDGET HOSPITALITY INC.,ESQUIRE MOTEL,6145 N ELSTON AVE,CHICAGO,IL,60646,39,17,39-17,16,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2216960,RENEW,,09/15/2018,10/25/2018,N,11/16/2018,11/15/2020,10/25/2018,11/14/2018,AAI,,,41.992488429,-87.782508555,"(41.992488428525434, -87.78250855541538)"
2206182-20170316,2508710,258836,1,WHITE LODGING SERVICES CORPORATION,COURTYARD BY MARRIOTT,165 E ONTARIO ST,CHICAGO,IL,60611,42,53,42-53,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2206182,RENEW,,01/15/2017,02/20/2017,N,03/16/2017,03/15/2019,02/20/2017,04/05/2017,AAI,,,41.893251246,-87.622791844,"(41.89325124631192, -87.62279184406287)"
2206843-20170316,2508977,293140,1,"PIL II, L.P.",HILTON CHICAGO MAGNIFICIENT MILE SUITES,198 E DELAWARE PL,CHICAGO,IL,60611,2,35,2-35,18,4404,Regulated Business License,676 | 745,Hotel - 7 or More Sleeping Rooms  | Provide Full Body Massage Services,2206843,RENEW,,01/15/2017,02/10/2017,N,03/16/2017,03/15/2019,02/10/2017,02/14/2017,AAI,,,41.899351735,-87.621986906,"(41.89935173506942, -87.62198690644685)"
2570089-20180806,2570089,423641,1,MICHIGAN CERMAK INDIANA LLC,HAMPTON INN / HILTON GARDEN INN / HOME 2 SUITES,123 E CERMAK RD 1-22,CHICAGO,IL,60616,3,17,3-17,1,4404,Regulated Business License,670 | 676,Health Club | Hotel - 7 or More Sleeping Rooms,2570089,ISSUE,12/07/2017,05/10/2018,05/10/2018,Y,08/06/2018,10/15/2020,08/06/2018,08/06/2018,AAI,,,41.852774163,-87.622758847,"(41.85277416294525, -87.6227588470712)"
2204419-20170416,2512591,17830,1,1409 W DIVERSEY CORPORATION,BELLWOOD HOTEL,1409 W DIVERSEY PKWY,CHICAGO,IL,60614,32,43,32-43,19,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2204419,RENEW,,02/15/2017,03/21/2017,N,04/16/2017,04/15/2019,03/21/2017,03/22/2017,AAI,,,41.932364186,-87.663958205,"(41.93236418581162, -87.66395820494346)"
2206184-20170316,2508714,258836,3,WHITE LODGING SERVICES CORPORATION,RESIDENCE INN,410 N DEARBORN ST,CHICAGO,IL,60610,42,55,42-55,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2206184,RENEW,,01/15/2017,02/20/2017,N,03/16/2017,03/15/2019,02/20/2017,04/05/2017,AAI,,,41.889634253,-87.6297443,"(41.88963425287828, -87.62974429986244)"
2220601-20170116,2500108,375624,1,616 ARLINGTON PROPERTY LLC,CHICAGO GETAWAY HOSTEL,616 W ARLINGTON PL,CHICAGO,IL,60614,43,21,43-21,19,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2220601,RENEW,,11/15/2016,06/23/2017,N,01/16/2017,01/15/2019,06/23/2017,06/26/2017,AAI,,,41.926825002,-87.644706266,"(41.926825002496706, -87.64470626566693)"
2475871-20180716,2599762,407444,1,"SARATOGA DEWITT IV, LLC",DEWITT HOUSE,900 N DEWITT PL 1-10,CHICAGO,IL,60611,2,13,2-13,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2475871,RENEW,,05/15/2018,06/27/2018,N,07/16/2018,07/15/2020,06/27/2018,06/28/2018,AAI,,,41.899306097,-87.620362876,"(41.89930609747106, -87.62036287558747)"
2506390-20190416,2651721,412432,1,HIGHGATE HOTELS LP,INN OF CHICAGO MAGNIFICENT MILE,162 E OHIO ST 1-22,CHICAGO,IL,60611,42,53,42-53,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2506390,RENEW,,02/22/2019,04/08/2019,N,04/16/2019,07/15/2021,02/26/2019,04/23/2019,AAI,,,41.892666897,-87.622866011,"(41.89266689703108, -87.62286601089627)"
2204377-20190816,2672401,16488,1,PETERSON - RIDGE CORP,HEART O CHICAGO MOTEL,5990 N RIDGE AVE 1ST,CHICAGO,IL,60660,40,46,40-46,20,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2204377,RENEW,,06/15/2019,07/11/2019,N,08/16/2019,08/15/2021,07/11/2019,07/12/2019,AAI,,,41.990523338,-87.671912673,"(41.99052333807348, -87.67191267325455)"
2209437-20191116,2692488,360993,1,"CM CHICAGO, LLC",RADISSON BLU AQUA HOTEL,221 N COLUMBUS DR,CHICAGO,IL,60601,42,50,42-50,1,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2209437,RENEW,,09/15/2019,09/20/2019,N,11/16/2019,11/15/2021,09/20/2019,09/23/2019,AAI,,,41.886312514,-87.62054177,"(41.88631251428426, -87.62054176987209)"
2207225-20190316,2644362,309122,1,"RAFFAELLO HOTEL OPERATIONS, LLC",Gale Chicago,201 E DELAWARE PL,CHICAGO,IL,60611,2,18,2-18,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2207225,RENEW,,01/15/2019,03/07/2019,N,03/16/2019,07/15/2021,03/07/2019,03/08/2019,AAI,,,41.899135255,-87.621785262,"(41.899135254700184, -87.62178526239309)"
2482986-20181016,2620578,408408,1,"NORTH STATE PARKWAY F&B, LLC",AMBASSADOR CHICAGO HOTEL AND RESTAURANT,1301-1309 N STATE PKWY 1-17,CHICAGO,IL,60610,43,39,43-39,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2482986,RENEW,,08/15/2018,10/05/2018,N,10/16/2018,07/15/2021,10/05/2018,12/14/2018,AAI,,,41.905869392,-87.628597872,"(41.90586939179599, -87.62859787158342)"
2205886-20180716,2597336,220845,1,"KTKY, INC.",STONY ISLAND MOTEL,9201 S STONY ISLAND AVE,CHICAGO,IL,60617,8,3,8-3,4,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2205886,RENEW,,05/15/2018,06/16/2018,N,07/16/2018,07/15/2020,06/16/2018,06/18/2018,AAI,,50,41.727766454,-87.58487782,"(41.727766453943474, -87.58487781980263)"
2328618-20190716,2667996,359494,6,"4858-70 N. CLARK STREET, LLC",THE GUESTHOUSE HOTEL,4866-4872 N CLARK ST 1ST THRU 4TH,CHICAGO,IL,60640,47,21,47-21,20,4404,Regulated Business License,676 | 767,Hotel - 7 or More Sleeping Rooms  | Retail Sales of General Merchandise and Non-Perishable Food,2328618,RENEW,,05/15/2019,06/04/2019,N,07/16/2019,07/15/2021,06/04/2019,11/15/2019,AAI,,31,41.970842995,-87.667867356,"(41.97084299526282, -87.66786735587178)"
2206340-20171116,2557557,268166,1,ALF CORPORATION,FULLERTON HOTEL,3919 W FULLERTON AVE,CHICAGO,IL,60647,35,21,35-21,25,4404,Regulated Business License,676 | 809,Hotel - 7 or More Sleeping Rooms  | Operation of Single Room Occupancy Building,2206340,RENEW,,09/15/2017,10/20/2017,N,11/16/2017,11/15/2019,11/02/2017,11/03/2017,AAI,,,41.924397349,-87.725094374,"(41.924397349322206, -87.7250943735646)"
2204342-20170316,2507341,14647,1,HCD CHICAGO CORPORATION,OMNI CHICAGO HOTEL,674-678 N MICHIGAN AVE,CHICAGO,IL,60611,42,48,42-48,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2204342,RENEW,,01/15/2017,03/02/2017,N,03/16/2017,03/15/2019,03/02/2017,03/02/2017,AAI,,,41.894754369,-87.624394347,"(41.89475436857259, -87.6243943466027)"
2646293-20190418,2646293,455885,1,"WABASH 11TH, LLC",HOMEWOOD SUITES BY HILTON CHICAGO DOWNTOWN SOUTHLOOP,1101 S WABASH AVE 1-22,CHICAGO,IL,60605,4,2,4-2,1,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2646293,ISSUE,01/18/2019,02/11/2019,02/11/2019,N,04/18/2019,07/15/2021,04/17/2019,04/18/2019,AAI,,,41.86918149,-87.625725517,"(41.86918149037602, -87.62572551681154)"
2534855-20190316,2643433,85369,4,"RESIDENCE INN BY MARRIOTT, LLC",RESIDENCE INN,201 E WALTON PL 1,CHICAGO,IL,60611,2,35,2-35,18,4404,Regulated Business License,670 | 676,Health Club | Hotel - 7 or More Sleeping Rooms,2534855,RENEW,,01/15/2019,03/08/2019,N,03/16/2019,07/15/2021,03/08/2019,03/08/2019,AAI,,,41.899936476,-87.621802445,"(41.899936475960715, -87.62180244533546)"
2205918-20180916,2611370,230085,1,"MICHIGAN WACKER ASSOCIATES, L.L.C.",CLUB QUARTERS,75 E WACKER DR,CHICAGO,IL,60601,42,9,42-9,1,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2205918,RENEW,,07/15/2018,09/06/2018,N,09/16/2018,07/15/2021,09/06/2018,10/29/2018,AAI,,,41.887861892,-87.625413041,"(41.88786189172989, -87.62541304135654)"
2210256-20180316,2577122,368609,1,"THOMPSON SUTTON ASSOCIATES, LLC",Thompson Chicago Hotel,21 E BELLEVUE PL,CHICAGO,IL,60611,42,24,42-24,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2210256,RENEW,,01/15/2018,01/24/2018,N,03/16/2018,07/15/2021,01/24/2018,01/25/2018,AAC,07/14/2021,,41.90146137,-87.627514619,"(41.90146137010766, -87.62751461949168)"
2404853-20180516,2588076,398740,1,"FH CHI, LLC",HOTEL ONE SIXTY-SIX,166 E SUPERIOR ST 1-29TH,CHICAGO,IL,60611,2,38,2-38,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2404853,RENEW,,03/15/2018,03/28/2018,N,05/16/2018,07/15/2021,03/28/2018,05/01/2018,AAI,,,41.895865608,-87.623016544,"(41.89586560814865, -87.6230165441443)"
2517326-20190316,2643284,63921,14,"MARRIOTT INTERNATIONAL, INC.",MARRIOTT MARQUIS CHICAGO,2121 S PRAIRIE AVE 1-40,CHICAGO,IL,60616,3,26,3-26,1,4404,Regulated Business License,670 | 676,Health Club | Hotel - 7 or More Sleeping Rooms,2517326,RENEW,,01/15/2019,03/07/2019,N,03/16/2019,07/15/2021,03/07/2019,03/07/2019,AAI,,,41.853650885,-87.620533581,"(41.853650885040594, -87.62053358114167)"
2506149-20191016,2688074,412338,1,HILTON MANAGEMENT LLC,CHICAGO HILTON & TOWERS,720 S MICHIGAN AVE,CHICAGO,IL,60605,4,18,4-18,1,4404,Regulated Business License,676 | 745,Hotel - 7 or More Sleeping Rooms  | Provide Full Body Massage Services,2506149,RENEW,,08/15/2019,10/07/2019,N,10/16/2019,10/15/2021,10/07/2019,10/07/2019,AAI,,,41.872798869,-87.62433781,"(41.87279886935482, -87.62433781031022)"
2206544-20190316,2644118,279209,1,"RUSH ONTARIO, LLC",AC MARRIOTT CHICAGO DOWNTOWN,630 N RUSH ST,CHICAGO,IL,60611,42,22,42-22,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2206544,RENEW,,01/15/2019,02/26/2019,N,03/16/2019,07/15/2021,02/26/2019,03/07/2019,AAI,,,41.893352438,-87.625566988,"(41.89335243769719, -87.62556698832533)"
2205593-20170916,2544853,86054,5,"WESTERN HOST, INC.",TREMONT HOTEL,100 E CHESTNUT ST 1ST -16TH,CHICAGO,IL,60611,42,61,42-61,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2205593,RENEW,,07/15/2017,09/13/2017,N,09/16/2017,09/15/2019,09/13/2017,09/15/2017,AAC,02/26/2019,,41.898476193,-87.625523758,"(41.89847619293213, -87.62552375805997)"
2207700-20170916,2546382,324160,1,SUMMIT MOTEL INCORPORATED,SUMMIT MOTEL,5308 N LINCOLN AVE,CHICAGO,IL,60625,40,1,40-1,20,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2207700,RENEW,,07/15/2017,07/28/2017,N,09/16/2017,09/15/2019,07/28/2017,07/31/2017,AAI,,,41.977975386,-87.692718062,"(41.97797538608755, -87.69271806210445)"
2205303-20191016,2685747,64400,1,MIDWAY AIRPORT LIMITED,QUALITY INN,7353 S CICERO AVE,CHICAGO,IL,60629,18,32,18-32,8,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2205303,RENEW,,08/15/2019,10/07/2019,N,10/16/2019,10/15/2021,10/07/2019,10/07/2019,AAI,,,41.759129714,-87.741553649,"(41.75912971390726, -87.74155364936757)"
2217903-20170316,2508724,258836,5,WHITE LODGING SERVICES CORPORATION,HYATT PLACE CHICAGO DOWNTOWN RIVER NORTH,66 W ILLINOIS ST 1-17 & LL,CHICAGO,IL,60654,42,22,42-22,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2217903,RENEW,,01/15/2017,02/20/2017,N,03/16/2017,03/15/2019,02/20/2017,04/05/2017,AAI,,,41.890938397,-87.630590335,"(41.89093839690263, -87.63059033456759)"
2205576-20170316,2508130,85369,1,"RESIDENCE INN BY MARRIOTT, LLC","RESIDENCE INN BY MARRIOTT, LLC",201 E WALTON ST,CHICAGO,IL,60611,2,35,2-35,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2205576,RENEW,,01/15/2017,02/28/2017,N,03/16/2017,03/15/2019,02/28/2017,02/28/2017,AAC,07/17/2017,,41.899936476,-87.621802445,"(41.899936475960715, -87.62180244533546)"
2457970-20180816,2606928,405020,1,"INTERWEST CHICAGO HOTEL, LLC",CLARIDGE HOUSE,1244 N DEARBORN ST 1-14,CHICAGO,IL,60610,2,36,2-36,18,4404,Regulated Business License,670 | 676,Health Club | Hotel - 7 or More Sleeping Rooms,2457970,RENEW,,06/15/2018,08/15/2018,N,08/16/2018,08/15/2020,08/15/2018,08/15/2018,AAI,,,41.905215314,-87.630169952,"(41.90521531399701, -87.63016995157534)"
2207410-20190916,2680622,315252,1,"A C MOTEL, LLC.",DIPLOMAT MOTEL,5230 N LINCOLN AVE,CHICAGO,IL,60625,40,14,40-14,20,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2207410,RENEW,,07/15/2019,07/25/2019,N,09/16/2019,09/15/2021,07/25/2019,07/26/2019,AAI,,,41.976810199,-87.692562101,"(41.976810199422054, -87.69256210112137)"
2210341-20180716,2598839,369394,1,CHSP TRS CHICAGO LLC,W CHICAGO-CITY CENTER,172 W ADAMS ST 1-20,CHICAGO,IL,60603,42,9,42-9,1,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2210341,RENEW,,05/15/2018,07/06/2018,N,07/16/2018,07/15/2020,07/06/2018,07/10/2018,AAI,,,41.87950365,-87.632969742,"(41.879503650161986, -87.63296974156731)"
2578014-20190416,2651300,394609,2,DHC FOOD & BEVERAGE CORPORATION,HOTEL ZACHARY,3630 N CLARK ST 1-7,CHICAGO,IL,60613,44,32,44-32,19,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2578014,RENEW,,02/22/2019,03/27/2019,N,04/16/2019,07/15/2021,03/27/2019,03/27/2019,AAI,,17,41.947965602,-87.657298543,"(41.947965602336375, -87.65729854258726)"
2204382-20170316,2507393,16964,1,RENAISSANCE HOTEL OPERATING COMPANY,RENAISSANCE CHICAGO HOTEL,1 W WACKER DR  1ST F,CHICAGO,IL,60601,42,9,42-9,1,4404,Regulated Business License,676 | 745,Hotel - 7 or More Sleeping Rooms  | Provide Full Body Massage Services,2204382,RENEW,,01/15/2017,02/28/2017,N,03/16/2017,03/15/2019,02/28/2017,02/28/2017,AAI,,1,41.886704229,-87.62805356,"(41.88670422864661, -87.62805355978018)"
2204423-20180216,2570889,18126,1,"WESTIN RIVER NORTH, CHICAGO BEVERAGE COMPANY",WESTIN RIVER NORTH CHGO HOTEL,320 N DEARBORN ST,CHICAGO,IL,60654,42,55,42-55,18,4404,Regulated Business License,676 | 745,Hotel - 7 or More Sleeping Rooms  | Provide Full Body Massage Services,2204423,RENEW,,12/15/2017,02/15/2018,N,02/16/2018,02/15/2020,02/15/2018,02/15/2018,AAI,,,41.888070378,-87.629692257,"(41.88807037763845, -87.62969225672218)"
2207225-20170316,2509138,309122,1,"RAFFAELLO HOTEL OPERATIONS, LLC",Gale Chicago,201 E DELAWARE PL,CHICAGO,IL,60611,2,18,2-18,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2207225,RENEW,,01/15/2017,02/23/2017,N,03/16/2017,03/15/2019,02/23/2017,02/24/2017,AAI,,,41.899135255,-87.621785262,"(41.899135254700184, -87.62178526239309)"
2207772-20180616,2592490,326641,1,"CHICAGO SOUTH LOOP HOTEL, LLC","CHICAGO SOUTH LOOP HOTEL, LLC",11 W 26TH ST 1-5,CHICAGO,IL,60616,3,43,3-43,1,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2207772,RENEW,,04/15/2018,05/02/2018,N,06/16/2018,06/15/2020,05/02/2018,05/03/2018,AAI,,,41.845468162,-87.62745299,"(41.84546816154614, -87.6274529904341)"
2207498-20191116,2692157,318192,1,SOMIP CORPORATION,ALOHA MOTEL,8515 S CICERO AVE 1-2,CHICAGO,IL,60652,18,28,18-28,8,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2207498,RENEW,,09/15/2019,11/01/2019,N,11/16/2019,11/15/2021,11/01/2019,11/01/2019,AAI,,,41.737711982,-87.740813041,"(41.737711981844576, -87.74081304134964)"
2206951-20180916,2612130,298020,5,"BLM-CHICAGO, LLC","ST. JANE HOTEL, FREE REIN, MR. BROWN'S LOUNGE & THE NOBEL",224-230 N MICHIGAN AVE,CHICAGO,IL,60601,42,9,42-9,1,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2206951,RENEW,,07/15/2018,02/13/2019,N,09/16/2018,07/15/2021,02/13/2019,02/13/2019,AAI,,,41.886374815,-87.624675436,"(41.88637481521078, -87.6246754356595)"
2529000-20190316,2643988,258836,7,WHITE LODGING SERVICES CORPORATION,MOXY,530 N LA SALLE DR,CHICAGO,IL,60654,42,46,42-46,18,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2529000,RENEW,,01/15/2019,03/25/2019,N,03/16/2019,07/15/2021,03/25/2019,03/26/2019,AAI,,,41.891682324,-87.632730713,"(41.891682323987396, -87.6327307134474)"
2207700-20190916,2680760,324160,1,SUMMIT MOTEL INCORPORATED,SUMMIT MOTEL,5308 N LINCOLN AVE,CHICAGO,IL,60625,40,1,40-1,20,4404,Regulated Business License,676,Hotel - 7 or More Sleeping Rooms,2207700,RENEW,,07/15/2019,08/08/2019,N,09/16/2019,09/15/2021,08/08/2019,08/09/2019,AAI,,,41.977975386,-87.692718062,"(41.97797538608755, -87.69271806210445)"
